Class,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
AA,0.7098474396519813,0.058999218776265815,0.7616279069767442,0.05934790769848766,0.7304772882899405,0.02192040143715367
AI,0.6704482430869104,0.049071173077690176,0.6720588235294118,0.06445472647297391,0.6669578360316618,0.02590246002903414
IA,0.3047385620915033,0.22840798216748304,0.21000000000000002,0.1972308292331602,0.22934220921837017,0.18264988728239437
II,0.7846004800533528,0.045944919980073655,0.7370967741935484,0.046774193548387084,0.7577253219414877,0.01957281132719377
