Class,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
AA,0.67947179314598,0.016321405381838693,0.7790697674418604,0.028482438869571844,0.7253870083056837,0.01182059842576854
AI,0.6843349758430619,0.019942122241588405,0.6794117647058824,0.04043449142608096,0.6809690032776151,0.020186228927045812
IA,0.29555555555555557,0.13462816105314396,0.21999999999999997,0.13999999999999999,0.24763489606368863,0.13895166922784552
II,0.8258990428735157,0.017940021557089927,0.7096774193548387,0.020401791355925028,0.763147739329691,0.014168510470113905
