Class,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
AA,0.7355747022837124,0.031238633631247043,0.7581395348837209,0.031545720851745444,0.7456099340334509,0.013172335533546731
AI,0.6967199813224606,0.015480809155966429,0.7411764705882352,0.0759028700033173,0.7161326282822216,0.03637526241965414
IA,0.41434343434343435,0.04167551176395647,0.38,0.07483314773547883,0.39516290726817044,0.05851086939342459
II,0.8209786858646424,0.05760274522731193,0.7322580645161291,0.03077223230377243,0.7724746355988686,0.02488240335301985
