Class,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
AA,0.770212945034982,0.016653647418528594,0.7313953488372092,0.021722722897987684,0.7500698507794772,0.01442574416704541
AI,0.6967213122638055,0.015125850475369799,0.7691176470588236,0.027156154871499086,0.7308184989302297,0.015146757205749851
IA,0.44908674658674663,0.041667028782163544,0.57,0.04582575694955839,0.5006567635263288,0.03427216947843198
II,0.8253857918352953,0.025740865025801016,0.75,0.016527339945096114,0.7855377860378866,0.012594944983528854
