Architecture,Metric,RF,GNN_mean,GNN_std,t_stat,p_value
GCN,Accuracy,0.7257,0.7292035341262817,0.0147816646952952,0.7110567446568062,0.4950631523629132
GCN,MCC,0.6019,0.606251249000199,0.0229088265036831,0.5698129931927481,0.5827461189656922
GAT,Accuracy,0.7257,0.7407079577445984,0.0106929684597891,4.210605633328803,0.0022707710396914216
GAT,MCC,0.6019,0.6262188682902904,0.0153364536116002,4.75707140115419,0.001033900529054943
GINE,Accuracy,0.7257,0.7035398304462432,0.0172509660533326,-3.853726710477608,0.0038841231709643154
GINE,MCC,0.6019,0.5673400042883155,0.0251900573253889,-4.115909138108824,0.002613850205221091
GraphSAGE,Accuracy,0.7257,0.7053097426891327,0.0088937054746506,-6.877984896953771,7.242838462095946e-05
GraphSAGE,MCC,0.6019,0.5679598728964199,0.0123041249714171,-8.275304546017896,1.6875088787893233e-05
